SabioReactionID,Name,Role,Smiles
19,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
20,S-Adenosyl-L-homocysteine,Product,NC(CCSCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23)C(O)=O
20,S-Adenosyl-L-methionine,Substrate,C[S+](CCC(N)C(O)=O)CC1OC(C(O)C1(O))n3cnc2c(N)ncnc23
20,DNA adenine,Substrate,[*]C5CC(O)C(COP(O)(=O)OC2CC(OC2(COP(O)(=O)OC1CC([*])OC1(CO)))n4cnc3c(N)ncnc34)O5
20,DNA 6-methylaminopurine,Product,[*]C5CC(OP(O)(=O)OCC4OC([*])CC4(OP(O)(=O)OCC1OC(CC1(O))n3cnc2c(NC)ncnc23))C(CO)O5
21,"beta-D-Fructose 1,6-bisphosphate",Substrate,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
21,Phosphate,Product,OP(O)(O)=O
21,H2O,Substrate,[H]O[H]
21,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
22,UTP,Substrate,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
22,UDP,Product,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
22,D-Fructose 6-phosphate,Substrate,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
22,"D-Fructose 1,6-bisphosphate",Product,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
23,CTP,Substrate,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
23,CDP,Product,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
23,D-Fructose 6-phosphate,Substrate,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
23,"D-Fructose 1,6-bisphosphate",Product,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
24,ITP,Substrate,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
24,IDP,Product,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
24,D-Fructose 6-phosphate,Substrate,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
24,"D-Fructose 1,6-bisphosphate",Product,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
25,D-Erythrose 4-phosphate,Product,[H]C(=O)C(O)C(O)COP(O)(O)=O
25,D-Glyceraldehyde 3-phosphate,Substrate,[H]C(O)(C=O)COP(O)(O)=O
25,beta-D-Fructose 6-phosphate,Substrate,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
25,D-Xylulose 5-phosphate,Product,OCC(=O)C(O)C(O)COP(O)(O)=O
26,D-Mannose 6-phosphate,Substrate,OC1OC(COP(O)(O)=O)C(O)C(O)C1(O)
26,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
27,Phosphate,Product,OP(O)(O)=O
27,H2O,Substrate,[H]O[H]
27,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
27,"D-Fructose 2,6-bisphosphate",Substrate,OCC1(OC(COP(O)(O)=O)C(O)C1(O))(OP(O)(O)=O)
28,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
28,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
28,beta-D-Fructose 6-phosphate,Substrate,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
28,"D-Fructose 2,6-bisphosphate",Product,OCC1(OC(COP(O)(O)=O)C(O)C1(O))(OP(O)(O)=O)
29,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
29,NADH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
29,D-Mannitol 1-phosphate,Substrate,OCC(O)C(O)C(O)C(O)COP(O)(O)=O
29,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
29,H+,Product,[H]
31,NADH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
31,H+,Product,[H]
31,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
31,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
31,D-Glucitol 6-phosphate,Substrate,OCC(O)C(O)C(O)C(O)COP(O)(O)=O
32,Diphosphate,Substrate,OP(O)(=O)OP(O)(O)=O
32,"beta-D-Fructose 1,6-bisphosphate",Product,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O)
32,Phosphate,Product,OP(O)(O)=O
32,beta-D-Fructose 6-phosphate,Substrate,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
33,D-Glucosamine 6-phosphate,Product,NC1C(O)OC(COP(O)(O)=O)C(O)C1(O)
33,D-Fructose 6-phosphate,Substrate,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
33,L-Glutamate,Product,NC(CCC(O)=O)C(O)=O
33,L-Glutamine,Substrate,NC(=O)CCC(N)C(O)=O
34,NH3,Product,[H]N([H])[H]
34,H2O,Substrate,[H]O[H]
34,D-Glucosamine 6-phosphate,Substrate,NC1C(O)OC(COP(O)(O)=O)C(O)C1(O)
34,D-Fructose 6-phosphate,Product,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
35,UDP,Product,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
35,Sucrose 6-phosphate,Product,OCC2OC(OC1(CO)(OC(COP(O)(O)=O)C(O)C1(O)))C(O)C(O)C2(O)
35,D-Fructose 6-phosphate,Substrate,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
35,UDPglucose,Substrate,OCC3OC(OP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))N2C=CC(=O)NC2(=O))C(O)C(O)C3(O)
36,Phosphate,Substrate,OP(O)(O)=O
36,H2O,Product,[H]O[H]
36,D-Fructose 6-phosphate,Substrate,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
36,D-Erythrose 4-phosphate,Product,[H]C(=O)C(O)C(O)COP(O)(O)=O
36,Acetyl phosphate,Product,CC(=O)OP(O)(O)=O
37,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
37,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
37,beta-D-Fructose 6-phosphate,Product,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
37,D-Fructose,Substrate,OCC1OC(O)(CO)C(O)C1(O)
38,ITP,Substrate,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
38,IDP,Product,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
38,D-Fructose 6-phosphate,Product,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
38,D-Fructose,Substrate,OCC1OC(O)(CO)C(O)C1(O)
39,dATP,Substrate,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1))
39,D-Fructose 6-phosphate,Product,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
39,D-Fructose,Substrate,OCC1OC(O)(CO)C(O)C1(O)
39,dADP,Product,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(O)=O)O1))
40,D-Glyceraldehyde 3-phosphate,Substrate,[H]C(O)(C=O)COP(O)(O)=O
40,D-Fructose 6-phosphate,Product,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))
40,D-Erythrose 4-phosphate,Product,[H]C(=O)C(O)C(O)COP(O)(O)=O
40,D-Sedoheptulose 7-phosphate,Substrate,OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
41,"Sedoheptulose 1,7-bisphosphate",Product,OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O
41,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
41,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
41,Sedoheptulose 7-phosphate,Substrate,OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
42,"Sedoheptulose 1,7-bisphosphate",Product,OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O
42,UTP,Substrate,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
42,UDP,Product,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
42,Sedoheptulose 7-phosphate,Substrate,OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
43,"Sedoheptulose 1,7-bisphosphate",Product,OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O
43,CTP,Substrate,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
43,CDP,Product,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
43,Sedoheptulose 7-phosphate,Substrate,OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
44,ITP,Substrate,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
44,"Sedoheptulose 1,7-bisphosphate",Product,OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O
44,IDP,Product,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
44,Sedoheptulose 7-phosphate,Substrate,OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
45,"Sedoheptulose 1,7-bisphosphate",Substrate,OC(COP(O)(O)=O)C(O)C(O)C(O)C(=O)COP(O)(O)=O
45,Dihydroxyacetone phosphate,Product,OCC(=O)COP(O)(O)=O
45,D-Erythrose 4-phosphate,Product,[H]C(=O)C(O)C(O)COP(O)(O)=O
46,alpha-Lactose,Substrate,OCC2OC(OC1C(O)C(O)C(O)OC1(CO))C(O)C(O)C2(O)
46,D-Glucose,Product,OCC1OC(O)C(O)C(O)C1(O)
46,D-Galactose,Product,OCC1OC(O)C(O)C(O)C1(O)
46,H2O,Substrate,[H]O[H]
47,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
47,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
47,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
47,NADP+,Product,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
48,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
48,Dephospho-CoA,Substrate,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS
48,Coenzyme A,Product,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS
48,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
49,Ethanol,Substrate,CCO
49,NADP+,Substrate,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
49,NADPH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
49,H+,Product,[H]
49,Acetaldehyde,Product,CC=O
51,Formate,Substrate,OC=O
51,"5,6,7,8-Tetrahydrofolate",Substrate,[H]C2(CNc1ccc(cc1)C(=O)NC(CCC(O)=O)C(O)=O)(CNC=3N=C(N)NC(=O)C=3(N2))
51,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
51,Phosphate,Product,OP(O)(O)=O
51,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
51,10-Formyltetrahydrofolate,Product,NC=1NC(=O)C=2NC(CNC=2(N=1))CN(C=O)c3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O
53,UTP,Substrate,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
53,Phosphoenolpyruvate,Product,C=C(OP(O)(O)=O)C(O)=O
53,UDP,Product,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
53,Pyruvate,Substrate,CC(=O)C(O)=O
54,GDP,Product,NC=1NC(=O)c2ncn(c2(N=1))C3OC(COP(O)(=O)OP(O)(O)=O)C(O)C3(O)
54,Phosphoenolpyruvate,Product,C=C(OP(O)(O)=O)C(O)=O
54,Pyruvate,Substrate,CC(=O)C(O)=O
54,GTP,Substrate,NC=1NC(=O)c2ncn(c2(N=1))C3OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C3(O)
55,CDP,Product,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
55,Phosphoenolpyruvate,Product,C=C(OP(O)(O)=O)C(O)=O
55,CTP,Substrate,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
55,Pyruvate,Substrate,CC(=O)C(O)=O
56,ITP,Substrate,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
56,IDP,Product,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
56,Phosphoenolpyruvate,Product,C=C(OP(O)(O)=O)C(O)=O
56,Pyruvate,Substrate,CC(=O)C(O)=O
57,Pyruvate,Substrate,CC(=O)C(O)=O
57,Phosphoenolpyruvate,Product,C=C(OP(O)(O)=O)C(O)=O
57,dATP,Substrate,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1))
57,dADP,Product,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(O)=O)O1))
58,Pyruvate,Substrate,CC(=O)C(O)=O
58,CO2,Product,O=C=O
58,Lipoamide,Substrate,NC(=O)CCCCC1CCSS1
58,S-Acetyldihydrolipoamide,Product,CC(=O)SC(CCCCC(N)=O)CCS
59,Dihydrolipoamide,Substrate,NC(=O)CCCCC(CCS)S
59,Coenzyme A,Product,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS
59,Acetyl-CoA,Substrate,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23
59,S-Acetyldihydrolipoamide,Product,CC(=O)SC(CCCCC(N)=O)CCS
60,Dihydrolipoamide,Substrate,NC(=O)CCCCC(CCS)S
60,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
60,NADH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
60,Lipoamide,Product,NC(=O)CCCCC1CCSS1
60,H+,Product,[H]
61,NADH,Product,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
61,L-Lactate,Substrate,CC(O)C(O)=O
61,H+,Product,[H]
61,Pyruvate,Product,CC(=O)C(O)=O
61,NAD+,Substrate,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
62,D-Ribulose 5-phosphate,Substrate,OCC(=O)C(O)C(O)COP(O)(O)=O
62,D-Xylulose 5-phosphate,Product,OCC(=O)C(O)C(O)COP(O)(O)=O
63,D-Glyceraldehyde 3-phosphate,Substrate,[H]C(O)(C=O)COP(O)(O)=O
63,D-Sedoheptulose 7-phosphate,Substrate,OCC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
63,D-Ribose 5-phosphate,Product,OC1OC(COP(O)(O)=O)C(O)C1(O)
63,D-Xylulose 5-phosphate,Product,OCC(=O)C(O)C(O)COP(O)(O)=O
64,Acetaldehyde,Product,CC=O
64,2-Deoxy-D-ribose 5-phosphate,Substrate,OC1CC(O)C(COP(O)(O)=O)O1
64,D-Glyceraldehyde 3-phosphate,Product,[H]C(O)(C=O)COP(O)(O)=O
65,D-Ribose 5-phosphate,Substrate,OC1OC(COP(O)(O)=O)C(O)C1(O)
65,D-Ribulose 5-phosphate,Product,OCC(=O)C(O)C(O)COP(O)(O)=O
66,Adenosine 5'-phosphate,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O))
66,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
66,5-Phospho-alpha-D-ribose 1-diphosphate,Product,OC1C(O)C(OC1(COP(O)(O)=O))OP(O)(=O)OP(O)(O)=O
66,D-Ribose 5-phosphate,Substrate,OC1OC(COP(O)(O)=O)C(O)C1(O)
67,L-Ribulose 5-phosphate,Substrate,OCC(=O)C(O)C(O)COP(O)(O)=O
67,D-Xylulose 5-phosphate,Product,OCC(=O)C(O)C(O)COP(O)(O)=O
68,UTP,Substrate,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
68,D-Glucose 1-phosphate,Substrate,OCC1OC(OP(O)(O)=O)C(O)C(O)C1(O)
68,UDPglucose,Product,OCC3OC(OP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))N2C=CC(=O)NC2(=O))C(O)C(O)C3(O)
68,Diphosphate,Product,OP(O)(=O)OP(O)(O)=O
69,D-Mannose 1-phosphate,Product,OCC1OC(OP(O)(O)=O)C(O)C(O)C1(O)
69,D-Mannose 6-phosphate,Substrate,OC1OC(COP(O)(O)=O)C(O)C(O)C1(O)
71,ATP,Substrate,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))
71,ADP,Product,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
71,Acetate,Substrate,CC(O)=O
71,Acetyl phosphate,Product,CC(=O)OP(O)(O)=O
72,Acetyl-CoA,Substrate,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23
